Input Facts,Input Rules,Inference,Label,Template Type
 Mary moved to the bathroom. John went to the hallway., If Mary moved to the bathroom then Mary is in the bathroom. If John went to the hallway then John is in the hallway.,Mary is in the garden.,FALSE,Type 4-PersonLocationChange
 Mary moved to the bathroom. John went to the hallway. Daniel went back to the hallway. Sandra moved to the garden., If Mary moved to the bathroom then Mary is in the bathroom. If John went to the hallway then John is in the hallway. If Daniel went back to the hallway then Daniel is in the hallway. If Sandra moved to the garden then Sandra is in the garden.,Daniel is in the bathroom.,FALSE,Type 4-PersonLocationChange
 Mary moved to the bathroom. John went to the hallway. Daniel went back to the hallway. Sandra moved to the garden. John moved to the office. Sandra journeyed to the bathroom., If Mary moved to the bathroom then Mary is in the bathroom. If John went to the hallway then John is in the hallway. If Daniel went back to the hallway then Daniel is in the hallway. If Sandra moved to the garden then Sandra is in the garden. If John moved to the office then John is in the office. If Sandra journeyed to the bathroom then Sandra is in the bathroom.,Daniel is in the garden.,FALSE,Type 4-PersonLocationChange
 Mary moved to the bathroom. John went to the hallway. Daniel went back to the hallway. Sandra moved to the garden. John moved to the office. Sandra journeyed to the bathroom. Mary moved to the hallway. Daniel travelled to the office., If Mary moved to the bathroom then Mary is in the bathroom. If John went to the hallway then John is in the hallway. If Daniel went back to the hallway then Daniel is in the hallway. If Sandra moved to the garden then Sandra is in the garden. If John moved to the office then John is in the office. If Sandra journeyed to the bathroom then Sandra is in the bathroom. If Mary moved to the hallway then Mary is in the hallway. If Daniel travelled to the office then Daniel is in the office.,Daniel is in the bathroom.,FALSE,Type 4-PersonLocationChange
 Mary moved to the bathroom. John went to the hallway. Daniel went back to the hallway. Sandra moved to the garden. John moved to the office. Sandra journeyed to the bathroom. Mary moved to the hallway. Daniel travelled to the office. John went back to the garden. John moved to the bedroom., If Mary moved to the bathroom then Mary is in the bathroom. If John went to the hallway then John is in the hallway. If Daniel went back to the hallway then Daniel is in the hallway. If Sandra moved to the garden then Sandra is in the garden. If John moved to the office then John is in the office. If Sandra journeyed to the bathroom then Sandra is in the bathroom. If Mary moved to the hallway then Mary is in the hallway. If Daniel travelled to the office then Daniel is in the office. If John went back to the garden then John is in the garden. If John moved to the bedroom then John is in the bedroom.,Sandra is in the bathroom.,TRUE,Type 4-PersonLocationChange
 Sandra travelled to the office. Sandra went to the bathroom., If Sandra travelled to the office then Sandra is in the office. If Sandra went to the bathroom then Sandra is in the bathroom.,Sandra is in the office.,FALSE,Type 4-PersonLocationChange
 Sandra travelled to the office. Sandra went to the bathroom. Mary went to the bedroom. Daniel moved to the hallway., If Sandra travelled to the office then Sandra is in the office. If Sandra went to the bathroom then Sandra is in the bathroom. If Mary went to the bedroom then Mary is in the bedroom. If Daniel moved to the hallway then Daniel is in the hallway.,Sandra is in the hallway.,FALSE,Type 4-PersonLocationChange
 Sandra travelled to the office. Sandra went to the bathroom. Mary went to the bedroom. Daniel moved to the hallway. John went to the garden. John travelled to the office., If Sandra travelled to the office then Sandra is in the office. If Sandra went to the bathroom then Sandra is in the bathroom. If Mary went to the bedroom then Mary is in the bedroom. If Daniel moved to the hallway then Daniel is in the hallway. If John went to the garden then John is in the garden. If John travelled to the office then John is in the office.,Sandra is in the garden.,FALSE,Type 4-PersonLocationChange
 Sandra travelled to the office. Sandra went to the bathroom. Mary went to the bedroom. Daniel moved to the hallway. John went to the garden. John travelled to the office. Daniel journeyed to the bedroom. Daniel travelled to the hallway., If Sandra travelled to the office then Sandra is in the office. If Sandra went to the bathroom then Sandra is in the bathroom. If Mary went to the bedroom then Mary is in the bedroom. If Daniel moved to the hallway then Daniel is in the hallway. If John went to the garden then John is in the garden. If John travelled to the office then John is in the office. If Daniel journeyed to the bedroom then Daniel is in the bedroom. If Daniel travelled to the hallway then Daniel is in the hallway.,John is in the kitchen.,FALSE,Type 4-PersonLocationChange
 Sandra travelled to the office. Sandra went to the bathroom. Mary went to the bedroom. Daniel moved to the hallway. John went to the garden. John travelled to the office. Daniel journeyed to the bedroom. Daniel travelled to the hallway. John went to the bedroom. John travelled to the office., If Sandra travelled to the office then Sandra is in the office. If Sandra went to the bathroom then Sandra is in the bathroom. If Mary went to the bedroom then Mary is in the bedroom. If Daniel moved to the hallway then Daniel is in the hallway. If John went to the garden then John is in the garden. If John travelled to the office then John is in the office. If Daniel journeyed to the bedroom then Daniel is in the bedroom. If Daniel travelled to the hallway then Daniel is in the hallway. If John went to the bedroom then John is in the bedroom. If John travelled to the office then John is in the office.,Daniel is in the bathroom.,FALSE,Type 4-PersonLocationChange
 Mary went to the bedroom. John journeyed to the bathroom., If Mary went to the bedroom then Mary is in the bedroom. If John journeyed to the bathroom then John is in the bathroom.,John is in the bathroom.,TRUE,Type 4-PersonLocationChange
 Mary went to the bedroom. John journeyed to the bathroom. Sandra journeyed to the hallway. John journeyed to the garden., If Mary went to the bedroom then Mary is in the bedroom. If John journeyed to the bathroom then John is in the bathroom. If Sandra journeyed to the hallway then Sandra is in the hallway. If John journeyed to the garden then John is in the garden.,Mary is in the garden.,FALSE,Type 4-PersonLocationChange
 Mary went to the bedroom. John journeyed to the bathroom. Sandra journeyed to the hallway. John journeyed to the garden. John journeyed to the bathroom. Sandra journeyed to the garden., If Mary went to the bedroom then Mary is in the bedroom. If John journeyed to the bathroom then John is in the bathroom. If Sandra journeyed to the hallway then Sandra is in the hallway. If John journeyed to the garden then John is in the garden. If John journeyed to the bathroom then John is in the bathroom. If Sandra journeyed to the garden then Sandra is in the garden.,John is in the bedroom.,FALSE,Type 4-PersonLocationChange
 Mary went to the bedroom. John journeyed to the bathroom. Sandra journeyed to the hallway. John journeyed to the garden. John journeyed to the bathroom. Sandra journeyed to the garden. Sandra went back to the bedroom. Daniel travelled to the bathroom., If Mary went to the bedroom then Mary is in the bedroom. If John journeyed to the bathroom then John is in the bathroom. If Sandra journeyed to the hallway then Sandra is in the hallway. If John journeyed to the garden then John is in the garden. If John journeyed to the bathroom then John is in the bathroom. If Sandra journeyed to the garden then Sandra is in the garden. If Sandra went back to the bedroom then Sandra is in the bedroom. If Daniel travelled to the bathroom then Daniel is in the bathroom.,John is in the bathroom.,TRUE,Type 4-PersonLocationChange
 Mary went to the bedroom. John journeyed to the bathroom. Sandra journeyed to the hallway. John journeyed to the garden. John journeyed to the bathroom. Sandra journeyed to the garden. Sandra went back to the bedroom. Daniel travelled to the bathroom. John went to the office. Mary moved to the office., If Mary went to the bedroom then Mary is in the bedroom. If John journeyed to the bathroom then John is in the bathroom. If Sandra journeyed to the hallway then Sandra is in the hallway. If John journeyed to the garden then John is in the garden. If John journeyed to the bathroom then John is in the bathroom. If Sandra journeyed to the garden then Sandra is in the garden. If Sandra went back to the bedroom then Sandra is in the bedroom. If Daniel travelled to the bathroom then Daniel is in the bathroom. If John went to the office then John is in the office. If Mary moved to the office then Mary is in the office.,Sandra is in the hallway.,FALSE,Type 4-PersonLocationChange
 Daniel journeyed to the kitchen. Daniel journeyed to the bedroom., If Daniel journeyed to the kitchen then Daniel is in the kitchen. If Daniel journeyed to the bedroom then Daniel is in the bedroom.,Daniel is in the garden.,FALSE,Type 4-PersonLocationChange
 Daniel journeyed to the kitchen. Daniel journeyed to the bedroom. Sandra moved to the garden. Sandra went back to the kitchen., If Daniel journeyed to the kitchen then Daniel is in the kitchen. If Daniel journeyed to the bedroom then Daniel is in the bedroom. If Sandra moved to the garden then Sandra is in the garden. If Sandra went back to the kitchen then Sandra is in the kitchen.,Sandra is in the bathroom.,FALSE,Type 4-PersonLocationChange
